title,SKU,final_price,old_price,url
"Oppo Reno7 Pro 5G (Starlight Black, 12GB, 256GB)",6932169302357,"₹47,990.00",,https://www.poojaratele.com/brand/oppo/oppo-reno7-pro-5g-starlight-black-12gb-256gb.html
OPPO Smart Band Style (Black),6944284678132,"₹2,750.00","₹3,999.00",https://www.poojaratele.com/brand/oppo/oppo-smart-band-style-black.html
"OPPO F21s Pro 5G (Dawnlight Gold, 8GB, 128GB)",6932169315692,"₹25,999.00","₹31,999.00",https://www.poojaratele.com/brand/oppo/oppo-f21s-pro-5g-dawnlight-gold-8gb-128gb.html
"OPPO A16 (Pearl Blue, 4GB, 64GB)",6944284689428,"₹16,990.00",,https://www.poojaratele.com/brand/oppo/oppo-a16-pearl-blue-4gb-64gb.html
"Oppo A96 (Sunset Blue, 8GB, 128GB)",6932169305563,"₹19,999.00",,https://www.poojaratele.com/brand/oppo/oppo-a96-sunset-blue-8gb-128gb.html
"OPPO F21 Pro (Sunset Orange, 8GB, 128GB)",6932169307864,"₹21,999.00","₹27,999.00",https://www.poojaratele.com/brand/oppo/oppo-f21-pro-sunset-orange-8gb-128gb.html
"OPPO Reno6 5G (Aurora, 8 GB, 128 GB)",6944284691766.,"₹29,990.00",,https://www.poojaratele.com/brand/oppo/oppo-reno6-5g-aurora-8-gb-128-gb.html
"OPPO A16e (Blue, 4GB, 64GB)",6932169309042,"₹15,990.00","₹13,990.00",https://www.poojaratele.com/brand/oppo/oppo-a16e-blue-4gb-64gb.html
"Oppo A16K (White, 3GB, 32GB)",6944284695849,"₹8,999.00","₹13,990.00",https://www.poojaratele.com/brand/oppo/oppo-a16k-white-3gb-32gb.html
OPPO Enco W31 True Wireless Bluetooth Headset (White),6944284657595,"₹3,499.00","₹5,999.00",https://www.poojaratele.com/brand/oppo/oppo-enco-w31-true-wireless-bluetooth-headset-white.html
OPPO ENCO W51 True Wireless Earphone (Floral White),6944284665088.00,"₹4,499.00","₹6,999.00",https://www.poojaratele.com/brand/oppo/oppo-enco-w51-true-wireless-earphone-floral-white.html
"OPPO F21s Pro (Dawnlight Gold, 8GB, 128GB)",6932169318532,"₹21,999.00","₹27,999.00",https://www.poojaratele.com/brand/oppo/oppo-f21s-pro-dawnlight-gold-8gb-128gb.html
"Oppo Reno7 5G (Starry Black, 8GB, 256GB)",6932169301862,"₹37,990.00",,https://www.poojaratele.com/brand/oppo/oppo-reno7-5g-starry-black-8gb-256gb.html
"OPPO F21s Pro (Starlight Black, 8GB, 128GB)",6932169318495,"₹21,999.00","₹27,999.00",https://www.poojaratele.com/brand/oppo/oppo-f21s-pro-starlight-black-8gb-128gb.html
"OPPO A16e (White, 4GB, 64GB)",6932169309097,"₹15,990.00","₹13,990.00",https://www.poojaratele.com/brand/oppo/oppo-a16e-white-4gb-64gb.html
"Oppo A96 (Starry Black, 8GB, 128GB)",6932169305556,"₹19,999.00",,https://www.poojaratele.com/brand/oppo/oppo-a96-starry-black-8gb-128gb.html
"OPPO A77s (Sunset Orange, 8GB, 128GB)",6932169320153,"₹17,999.00","₹22,999.00",https://www.poojaratele.com/brand/oppo/oppo-a77s-sunset-orange-8gb-128gb.html
